date,open,high,low,close,volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,is_trading_day
2018-02-10 15:30:00,8762.14,8772.2,8577.61,8610.47,2085.107474,21277,1015.476025,8796934.18071874,1
2018-02-10 16:00:00,8610.01,8730.09,8571.5,8685.0,1169.73848,12937,582.269434,5041232.10074331,1
2018-02-10 16:30:00,8685.0,8761.22,8582.41,8601.8,981.583737,9824,438.809802,3816323.50144887,1
2018-02-10 17:00:00,8601.8,8667.66,8579.0,8580.0,822.679298,8935,378.742372,3265686.92900004,1
2018-02-10 17:30:00,8580.03,8610.0,8470.0,8481.0,1422.390187,14168,590.48955,5026679.78196956,1
2018-02-10 18:00:00,8481.0,8650.0,8477.0,8640.65,862.392472,10000,471.415269,4035029.93204034,1
2018-02-10 18:30:00,8640.65,8685.99,8571.0,8635.99,790.530153,9478,371.244788,3204235.29454965,1
2018-02-10 19:00:00,8626.12,8647.15,8480.0,8560.12,960.886586,8532,350.404701,2999427.36329573,1
2018-02-10 19:30:00,8563.51,8649.0,8533.0,8600.0,621.147605,7968,321.973712,2768840.5580127,1
2018-02-10 20:00:00,8599.75,8739.95,8587.77,8739.95,886.056959,8806,537.062525,4665163.20436976,1
2018-02-10 20:30:00,8739.04,8783.19,8681.0,8730.01,898.764751,10183,448.225001,3915281.88856152,1
2018-02-10 21:00:00,8727.97,8800.0,8665.01,8685.87,774.306992,8553,342.136185,2994700.72883919,1
2018-02-10 21:30:00,8696.52,8712.0,8571.0,8604.92,1186.002237,12168,525.060187,4525170.81605566,1
2018-02-10 22:00:00,8599.7,8612.79,8325.0,8395.0,1966.033603,18445,860.762455,7252463.39201171,1
2018-02-10 22:30:00,8395.0,8420.0,8231.0,8263.51,2376.297531,21810,1167.309361,9692448.31558746,1
2018-02-10 23:00:00,8271.0,8420.0,8264.11,8345.0,1469.782146,15657,772.658998,6445297.79898491,1
2018-02-10 23:30:00,8345.0,8377.68,8120.0,8185.98,1922.743815,18974,968.450708,7938322.00853055,1
2018-02-11 00:00:00,8188.0,8391.34,8179.0,8309.98,1434.707418,15630,814.107503,6749210.56312763,1
2018-02-11 00:30:00,8310.23,8448.0,8306.12,8391.92,877.87508,10099,460.523223,3859611.27418414,1
2018-02-11 01:00:00,8388.99,8419.0,8282.15,8330.99,920.912954,10367,406.710896,3397016.51251456,1
2018-02-11 01:30:00,8330.99,8336.8,8268.01,8272.59,676.062597,7908,288.679609,2395779.00181986,1
2018-02-11 02:00:00,8272.92,8330.0,8212.5,8283.08,821.015855,10442,419.787538,3471790.42750459,1
2018-02-11 02:30:00,8283.08,8430.89,8283.08,8419.0,764.61304,8455,382.255075,3203111.74054422,1
2018-02-11 03:00:00,8420.0,8422.0,8279.16,8280.0,638.926359,8416,258.449237,2153774.50400683,1
2018-02-11 03:30:00,8290.31,8385.0,8131.0,8170.98,1023.096573,11062,470.940826,3884870.20501545,1
2018-02-11 04:00:00,8170.98,8256.57,8125.0,8187.81,1317.68561,12483,581.419701,4758927.31550416,1
2018-02-11 04:30:00,8187.72,8294.56,8155.0,8241.0,935.512176,11893,494.782572,4071679.37355419,1
2018-02-11 05:00:00,8239.04,8530.0,8230.0,8499.96,1467.09861,13730,819.709895,6874979.83560758,1
2018-02-11 05:30:00,8508.07,8570.0,8403.0,8539.99,1215.960799,13855,656.670585,5581915.07107788,1
2018-02-11 06:00:00,8539.98,8572.0,8466.01,8480.01,771.92463,9534,377.655587,3217260.27221646,1
2018-02-11 06:30:00,8480.03,8545.0,8451.0,8533.98,558.463616,6454,278.919725,2371568.37001538,1
2018-02-11 07:00:00,8533.99,8549.0,8330.0,8381.02,1091.771878,13788,536.183265,4517816.68595973,1
2018-02-11 07:30:00,8384.98,8409.03,8258.98,8378.1,859.460586,11020,405.673525,3379615.03156152,1
