date,open,high,low,close,label,source_idx
2024-05-10 10:55:00,62904.59,62925.92,62886.0,62916.16,2,666968
2024-05-10 11:00:00,62916.16,62960.0,62888.0,62941.12,2,666969
2024-05-10 11:05:00,62941.13,62949.89,62830.0,62830.01,2,666970
2024-05-10 11:10:00,62830.01,62885.66,62793.04,62885.65,2,666971
2024-05-10 11:15:00,62885.66,62920.0,62850.0,62920.0,2,666972
2024-05-10 11:20:00,62920.0,62955.0,62919.99,62943.15,2,666973
2024-05-10 11:25:00,62943.14,63008.0,62943.14,62994.81,2,666974
2024-05-10 11:30:00,62994.81,62999.59,62916.53,62929.56,2,666975
2024-05-10 11:35:00,62929.55,62978.33,62929.55,62952.0,2,666976
2024-05-10 11:40:00,62952.01,62952.01,62828.49,62863.65,2,666977
2024-05-10 11:45:00,62863.65,62930.0,62844.99,62920.0,2,666978
2024-05-10 11:50:00,62920.0,62940.0,62870.13,62931.41,2,666979
2024-05-10 11:55:00,62931.4,62947.76,62904.0,62929.99,2,666980
2024-05-10 12:00:00,62930.0,62973.49,62920.0,62934.0,2,666981
2024-05-10 12:05:00,62934.01,62934.01,62882.0,62884.94,2,666982
2024-05-10 12:10:00,62884.94,62884.94,62789.3,62789.3,2,666983
2024-05-10 12:15:00,62789.31,62825.1,62770.0,62797.18,2,666984
2024-05-10 12:20:00,62797.18,62797.19,62731.76,62731.77,2,666985
2024-05-10 12:25:00,62731.76,62757.29,62684.51,62693.99,1,666986
2024-05-10 12:30:00,62694.0,62779.51,62660.42,62779.51,0,666987
2024-05-10 12:35:00,62779.51,62789.31,62756.81,62759.99,0,666988
2024-05-10 12:40:00,62759.98,62759.99,62727.9,62727.91,0,666989
2024-05-10 12:45:00,62727.91,62780.0,62727.9,62780.0,0,666990
2024-05-10 12:50:00,62779.99,62789.29,62734.04,62789.28,0,666991
2024-05-10 12:55:00,62789.29,62805.99,62758.6,62767.99,0,666992
2024-05-10 13:00:00,62768.0,62834.89,62743.88,62818.0,0,666993
2024-05-10 13:05:00,62817.99,62880.0,62817.99,62880.0,0,666994
2024-05-10 13:10:00,62879.99,62914.0,62878.0,62914.0,0,666995
2024-05-10 13:15:00,62914.0,62942.8,62842.88,62896.01,0,666996
2024-05-10 13:20:00,62896.01,62896.01,62852.12,62884.86,0,666997
2024-05-10 13:25:00,62884.85,62884.86,62850.69,62863.12,0,666998
2024-05-10 13:30:00,62863.13,62877.53,62784.0,62877.52,0,666999
2024-05-10 13:35:00,62877.52,62912.1,62877.52,62890.0,0,667000
2024-05-10 13:40:00,62890.01,62950.0,62880.0,62949.99,0,667001
2024-05-10 13:45:00,62950.0,63022.46,62902.15,62996.45,0,667002
2024-05-10 13:50:00,62996.44,63209.73,62996.44,63194.0,0,667003
2024-05-10 13:55:00,63194.01,63236.96,63123.7,63166.0,0,667004
2024-05-10 14:00:00,63166.0,63333.8,63165.99,63274.01,0,667005
2024-05-10 14:05:00,63274.0,63274.01,62995.97,63060.05,0,667006
2024-05-10 14:10:00,63060.06,63078.31,62990.44,63072.87,0,667007
2024-05-10 14:15:00,63072.88,63380.0,63072.87,63329.86,3,667008
2024-05-10 14:20:00,63329.86,63342.99,63276.0,63281.0,2,667009
2024-05-10 14:25:00,63281.0,63334.17,63161.0,63260.93,2,667010
2024-05-10 14:30:00,63260.93,63274.3,63098.77,63146.97,2,667011
2024-05-10 14:35:00,63146.96,63237.22,63128.01,63180.0,2,667012
2024-05-10 14:40:00,63180.0,63238.66,63171.1,63196.87,2,667013
2024-05-10 14:45:00,63196.87,63210.1,63096.27,63112.8,2,667014
2024-05-10 14:50:00,63112.8,63152.0,63101.4,63132.56,2,667015
2024-05-10 14:55:00,63132.55,63178.54,63063.44,63078.02,2,667016
2024-05-10 15:00:00,63078.01,63136.06,63034.38,63034.38,2,667017
2024-05-10 15:05:00,63034.38,63034.39,62920.01,62970.0,2,667018
2024-05-10 15:10:00,62970.01,62970.01,62901.0,62916.01,2,667019
2024-05-10 15:15:00,62916.0,62971.01,62839.67,62971.0,2,667020
2024-05-10 15:20:00,62971.01,62984.56,62940.0,62961.99,2,667021
2024-05-10 15:25:00,62962.0,62990.0,62922.0,62982.01,2,667022
2024-05-10 15:30:00,62982.0,63026.51,62975.52,62980.01,2,667023
2024-05-10 15:35:00,62980.01,63027.36,62956.69,62986.42,2,667024
2024-05-10 15:40:00,62986.41,62986.42,62922.0,62934.01,2,667025
2024-05-10 15:45:00,62934.0,62941.86,62878.01,62941.86,2,667026
2024-05-10 15:50:00,62941.86,62992.22,62928.0,62973.49,2,667027
2024-05-10 15:55:00,62973.48,63040.0,62945.89,63039.99,2,667028
2024-05-10 16:00:00,63040.0,63050.0,62942.79,62942.8,2,667029
2024-05-10 16:05:00,62942.79,62958.0,62850.0,62904.0,2,667030
2024-05-10 16:10:00,62903.99,62904.0,62860.0,62903.99,1,667031
2024-05-10 16:15:00,62903.99,62954.74,62856.39,62952.01,0,667032
2024-05-10 16:20:00,62952.01,62957.01,62882.0,62950.0,0,667033
2024-05-10 16:25:00,62950.0,62950.0,62900.0,62917.43,0,667034
2024-05-10 16:30:00,62917.44,63017.56,62917.43,62984.01,0,667035
2024-05-10 16:35:00,62984.01,63032.0,62964.0,63004.0,0,667036
2024-05-10 16:40:00,63004.01,63188.38,63004.0,63181.47,3,667037
2024-05-10 16:45:00,63181.48,63214.63,63096.27,63096.28,2,667038
2024-05-10 16:50:00,63096.28,63098.0,63066.51,63097.99,2,667039
2024-05-10 16:55:00,63097.99,63126.98,63090.51,63126.98,2,667040
2024-05-10 17:00:00,63126.97,63139.19,63034.88,63034.88,2,667041
2024-05-10 17:05:00,63034.88,63045.02,62954.85,62973.98,2,667042
2024-05-10 17:10:00,62973.99,62979.67,62860.0,62940.0,2,667043
2024-05-10 17:15:00,62940.0,62986.54,62932.87,62954.19,2,667044
2024-05-10 17:20:00,62954.19,63020.0,62944.04,63012.0,2,667045
2024-05-10 17:25:00,63012.01,63072.75,63012.0,63069.41,2,667046
2024-05-10 17:30:00,63069.41,63096.28,63040.51,63061.77,2,667047
2024-05-10 17:35:00,63061.77,63061.78,63003.44,63004.83,2,667048
2024-05-10 17:40:00,63004.84,63016.12,62973.48,63016.11,2,667049
2024-05-10 17:45:00,63016.11,63018.2,62996.0,63016.11,2,667050
2024-05-10 17:50:00,63016.12,63042.0,63012.03,63037.39,2,667051
2024-05-10 17:55:00,63037.38,63044.0,62996.0,63025.45,2,667052
2024-05-10 18:00:00,63025.44,63034.89,62945.99,62972.27,2,667053
2024-05-10 18:05:00,62972.26,63010.0,62880.1,62903.67,1,667054
2024-05-10 18:10:00,62903.67,62980.0,62903.66,62912.08,0,667055
2024-05-10 18:15:00,62911.98,62955.34,62800.0,62955.32,0,667056
2024-05-10 18:20:00,62955.32,63014.7,62955.32,63014.7,0,667057
2024-05-10 18:25:00,63014.7,63044.6,62992.6,63034.0,0,667058
2024-05-10 18:30:00,63034.0,63045.59,63002.01,63024.02,0,667059
2024-05-10 18:35:00,63024.02,63049.4,63006.67,63011.4,0,667060
2024-05-10 18:40:00,63011.39,63045.0,62995.08,63044.99,0,667061
2024-05-10 18:45:00,63044.99,63157.68,63044.99,63152.04,0,667062
2024-05-10 18:50:00,63152.04,63219.07,63144.05,63218.98,0,667063
2024-05-10 18:55:00,63218.98,63320.0,63218.97,63299.63,0,667064
2024-05-10 19:00:00,63299.63,63469.13,63299.63,63433.98,3,667065
2024-05-10 19:05:00,63433.98,63433.99,63173.02,63179.79,2,667066
2024-05-10 19:10:00,63179.79,63272.0,63164.69,63272.0,2,667067
2024-05-10 19:15:00,63271.99,63305.58,63175.3,63175.3,2,667068
2024-05-10 19:20:00,63175.31,63219.07,63101.01,63119.99,2,667069
2024-05-10 19:25:00,63119.99,63250.0,63119.99,63249.99,2,667070
2024-05-10 19:30:00,63250.0,63280.0,63202.0,63249.54,2,667071
2024-05-10 19:35:00,63249.54,63307.41,63221.98,63226.0,2,667072
2024-05-10 19:40:00,63226.0,63262.12,63150.6,63153.99,2,667073
2024-05-10 19:45:00,63154.0,63158.0,62955.0,62997.52,2,667074
2024-05-10 19:50:00,62997.51,63057.99,62939.0,63038.01,2,667075
2024-05-10 19:55:00,63038.0,63038.01,62988.22,63007.92,2,667076
2024-05-10 20:00:00,63007.91,63050.0,62900.0,63038.01,2,667077
2024-05-10 20:05:00,63038.0,63075.0,62950.0,62964.2,2,667078
2024-05-10 20:10:00,62964.21,63019.06,62935.0,62980.01,2,667079
2024-05-10 20:15:00,62980.0,62998.08,62924.0,62945.62,2,667080
2024-05-10 20:20:00,62945.61,62970.0,62888.88,62906.01,2,667081
2024-05-10 20:25:00,62906.0,62906.01,62812.26,62812.27,1,667082
2024-05-10 20:30:00,62812.26,62987.99,62812.26,62983.99,0,667083
2024-05-10 20:35:00,62983.99,63027.6,62935.71,62940.01,0,667084
2024-05-10 20:40:00,62940.01,62986.01,62910.0,62915.99,0,667085
2024-05-10 20:45:00,62915.99,63095.88,62915.99,63086.64,3,667086
2024-05-10 20:50:00,63086.64,63107.17,63014.39,63077.47,2,667087
2024-05-10 20:55:00,63077.47,63077.47,62991.99,63004.0,2,667088
2024-05-10 21:00:00,63004.0,63090.33,62697.2,62910.0,2,667089
2024-05-10 21:05:00,62910.0,63039.52,62770.07,62772.58,2,667090
2024-05-10 21:10:00,62772.57,62778.32,62476.26,62562.88,2,667091
2024-05-10 21:15:00,62562.87,62628.37,62264.42,62343.98,2,667092
2024-05-10 21:20:00,62344.06,62470.0,62270.0,62469.99,2,667093
2024-05-10 21:25:00,62470.0,62477.96,62203.42,62212.79,2,667094
2024-05-10 21:30:00,62212.79,62308.09,62032.01,62088.0,2,667095
2024-05-10 21:35:00,62088.0,62890.0,61728.9,61944.01,2,667096
2024-05-10 21:40:00,61944.0,61944.01,61750.0,61812.01,2,667097
2024-05-10 21:45:00,61812.01,61812.01,61488.19,61501.23,2,667098
2024-05-10 21:50:00,61501.23,61501.24,60828.0,61040.0,2,667099
2024-05-10 21:55:00,61039.99,61230.0,60690.0,61063.87,2,667100
2024-05-10 22:00:00,61063.87,61196.84,60800.0,61138.6,2,667101
2024-05-10 22:05:00,61138.59,61162.78,60770.11,60874.03,1,667102
2024-05-10 22:10:00,60874.04,60940.0,60703.0,60888.0,0,667103
2024-05-10 22:15:00,60888.0,61074.0,60857.64,61052.02,0,667104
2024-05-10 22:20:00,61052.01,61276.77,61010.0,61202.0,0,667105
2024-05-10 22:25:00,61202.0,61326.01,61120.0,61200.01,0,667106
2024-05-10 22:30:00,61200.0,61283.67,61142.0,61215.99,3,667107
2024-05-10 22:35:00,61215.99,61260.87,60963.9,61000.8,2,667108
2024-05-10 22:40:00,61000.79,61071.75,60839.79,60969.99,2,667109
2024-05-10 22:45:00,60969.99,60980.0,60754.01,60847.98,2,667110
2024-05-10 22:50:00,60847.98,60980.0,60783.4,60965.08,2,667111
2024-05-10 22:55:00,60965.08,61088.47,60888.0,60928.02,2,667112
2024-05-10 23:00:00,60928.02,60928.02,60701.0,60735.73,1,667113
2024-05-10 23:05:00,60735.73,60940.0,60255.0,60914.65,0,667114
2024-05-10 23:10:00,60914.66,61147.0,60843.74,61070.77,0,667115
2024-05-10 23:15:00,61070.76,61294.82,61050.0,61163.9,3,667116
2024-05-10 23:20:00,61163.91,61212.22,61099.99,61120.0,2,667117
2024-05-10 23:25:00,61120.0,61128.24,60830.0,60854.83,2,667118
2024-05-10 23:30:00,60854.82,60920.0,60740.37,60779.99,1,667119
2024-05-10 23:35:00,60780.0,60924.92,60687.23,60908.29,0,667120
2024-05-10 23:40:00,60908.28,60912.2,60837.17,60882.98,0,667121
2024-05-10 23:45:00,60882.97,61019.99,60790.0,60944.82,0,667122
2024-05-10 23:50:00,60944.82,61088.78,60865.62,61074.02,3,667123
2024-05-10 23:55:00,61074.03,61188.07,61041.07,61071.54,2,667124
2024-05-11 00:00:00,61071.55,61071.55,60834.22,60927.61,2,667125
2024-05-11 00:05:00,60922.19,60944.69,60835.72,60837.79,2,667126
2024-05-11 00:10:00,60837.79,60867.16,60702.87,60715.61,2,667127
2024-05-11 00:15:00,60715.6,60727.91,60337.14,60509.54,2,667128
2024-05-11 00:20:00,60509.53,60643.23,60436.98,60443.03,2,667129
2024-05-11 00:25:00,60443.04,60535.37,60300.01,60463.69,2,667130
2024-05-11 00:30:00,60463.68,60536.48,60303.31,60354.16,1,667131
