split,group,tp_threshold,sample_count,hit_count,hit_rate,miss_count,miss_return_mean,close_h2_return_mean,two_sided_count,two_sided_rate
val,p2_exit_after_h2_selected,0.0005,1190,1184,0.9949579831932773,6,-0.006710808680031655,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.001,1190,1172,0.984873949579832,18,-0.004868666270960165,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.0015,1190,1141,0.9588235294117647,49,-0.00410455031540089,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.002,1190,1083,0.9100840336134454,107,-0.003941300946449004,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.0025000000000000005,1190,997,0.8378151260504202,193,-0.0030860935057015902,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.003,1190,905,0.7605042016806722,285,-0.002311579713501546,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.0034999999999999996,1190,799,0.6714285714285714,391,-0.0018282132391866065,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.004,1190,698,0.5865546218487395,492,-0.0013782371396367206,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.0045000000000000005,1190,604,0.507563025210084,586,-0.0010617349899163047,0.0018233980556723577,,
val,p2_exit_after_h2_selected,0.005,1190,516,0.4336134453781513,674,-0.00063875736074202,0.0018233980556723577,,
val,p2_exit_after_h2_no_selected,-0.002,8044,6585,0.818622575832919,1459,-0.010787806352545554,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,-0.0015,8044,6276,0.7802088513177524,1768,-0.010016991392839781,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,-0.001,8044,5874,0.7302337145698657,2170,-0.009120661115714664,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,-0.0005,8044,5441,0.6764047737444058,2603,-0.008325218788310046,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.0,8044,4955,0.615987071108901,3089,-0.007597655996517296,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.0005,8044,4403,0.5473644952759821,3641,-0.006900450164716156,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.001,8044,3884,0.4828443560417703,4160,-0.006304489608918049,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.0015,8044,3370,0.41894579811039284,4674,-0.005809410755444953,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.002,8044,2870,0.35678766782695176,5174,-0.005352304989335937,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.0025000000000000005,8044,2416,0.30034808552958725,5628,-0.004952071879422618,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.003,8044,2018,0.2508702138239682,6026,-0.004606210409895637,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.0034999999999999996,8044,1699,0.21121332670313278,6345,-0.004330842071158291,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.004,8044,1380,0.17155643958229735,6664,-0.004059747497501581,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.0045000000000000005,8044,1132,0.1407260069617106,6912,-0.003853371225073871,-0.0028056689288121447,,
val,p2_exit_after_h2_no_selected,0.005,8044,929,0.11548980606663352,7115,-0.0036832895585568524,-0.0028056689288121447,,
test,p1_base_signal,-0.002,19110,19110,1.0,0,,6.830967939632978e-06,,
test,p1_base_signal,-0.0015,19110,19110,1.0,0,,6.830967939632978e-06,,
test,p1_base_signal,-0.001,19110,19110,1.0,0,,6.830967939632978e-06,,
test,p1_base_signal,-0.0005,19110,19110,1.0,0,,6.830967939632978e-06,,
test,p1_base_signal,0.0,19110,18807,0.9841444270015699,303,-0.007080711878051841,6.830967939632978e-06,18538.0,0.9700680272108844
test,p1_base_signal,0.0005,19110,17492,0.9153322867608582,1618,-0.006588784258647718,6.830967939632978e-06,15816.0,0.8276295133437991
test,p1_base_signal,0.001,19110,16255,0.8506017791732078,2855,-0.0060820642993266805,6.830967939632978e-06,13294.0,0.6956567242281528
test,p1_base_signal,0.0015,19110,14968,0.7832548403976975,4142,-0.005593859115079076,6.830967939632978e-06,10718.0,0.560858189429618
test,p1_base_signal,0.002,19110,13674,0.715541601255887,5436,-0.005135334695164067,6.830967939632978e-06,8335.0,0.43615907901622186
test,p1_base_signal,0.0025000000000000005,19110,12451,0.6515436944008373,6659,-0.004735897649440454,6.830967939632978e-06,6243.0,0.32668759811616954
test,p1_base_signal,0.003,19110,11173,0.5846677132391418,7937,-0.004329549674554205,6.830967939632978e-06,4568.0,0.2390371533228676
test,p1_base_signal,0.0034999999999999996,19110,10036,0.5251700680272109,9074,-0.003950605098815727,6.830967939632978e-06,3369.0,0.17629513343799058
test,p1_base_signal,0.004,19110,9028,0.47242281527995816,10082,-0.003636706597788105,6.830967939632978e-06,2534.0,0.1326007326007326
test,p1_base_signal,0.0045000000000000005,19110,8028,0.42009419152276295,11082,-0.003318618886037006,6.830967939632978e-06,1862.0,0.09743589743589744
test,p1_base_signal,0.005,19110,7187,0.3760858189429618,11923,-0.0030578679629245415,6.830967939632978e-06,1436.0,0.07514390371533229
test,p1_base_no_h1,-0.002,15972,15083,0.9443400951665415,889,-0.011009964532734286,-0.0007902783651856089,,
test,p1_base_no_h1,-0.0015,15972,14786,0.9257450538442275,1186,-0.01009519757719328,-0.0007902783651856089,,
test,p1_base_no_h1,-0.001,15972,14350,0.8984472827448035,1622,-0.009229392928926859,-0.0007902783651856089,,
test,p1_base_no_h1,-0.0005,15972,13791,0.8634485349361383,2181,-0.008381719736815153,-0.0007902783651856089,,
test,p1_base_no_h1,0.0,15972,13125,0.8217505634861006,2847,-0.007682450745529463,-0.0007902783651856089,,
test,p1_base_no_h1,0.0005,15972,12345,0.7729151014274981,3627,-0.006925326740502881,-0.0007902783651856089,,
test,p1_base_no_h1,0.001,15972,11519,0.7211995992987729,4453,-0.0063293049062100315,-0.0007902783651856089,,
test,p1_base_no_h1,0.0015,15972,10608,0.6641622839969947,5364,-0.005773649721540113,-0.0007902783651856089,,
test,p1_base_no_h1,0.002,15972,9666,0.6051840721262209,6306,-0.005281792310803901,-0.0007902783651856089,,
test,p1_base_no_h1,0.0025000000000000005,15972,8668,0.5426997245179064,7304,-0.004804188117143434,-0.0007902783651856089,,
test,p1_base_no_h1,0.003,15972,7648,0.47883796644127224,8324,-0.004333147765151083,-0.0007902783651856089,,
test,p1_base_no_h1,0.0034999999999999996,15972,6717,0.42054845980465816,9255,-0.0039569669052776455,-0.0007902783651856089,,
test,p1_base_no_h1,0.004,15972,5890,0.36877034810919107,10082,-0.003636706597788105,-0.0007902783651856089,,
test,p1_base_no_h1,0.0045000000000000005,15972,5077,0.3178687703481092,10895,-0.003300269062001951,-0.0007902783651856089,,
test,p1_base_no_h1,0.005,15972,4415,0.2764212371650388,11557,-0.0030354211092255886,-0.0007902783651856089,,
test,p1_exit_after_h1_selected,-0.002,4824,4819,0.9989635157545605,5,-0.01615406234831245,0.001356418092133312,,
test,p1_exit_after_h1_selected,-0.0015,4824,4817,0.9985489220563848,7,-0.01446950984958498,0.001356418092133312,,
test,p1_exit_after_h1_selected,-0.001,4824,4806,0.996268656716418,18,-0.016211014702252682,0.001356418092133312,,
test,p1_exit_after_h1_selected,-0.0005,4824,4794,0.9937810945273632,30,-0.014466524760889672,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.0,4824,4776,0.9900497512437811,48,-0.012676549635746428,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.0005,4824,4734,0.9813432835820896,90,-0.01018655492076952,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.001,4824,4646,0.9631011608623549,178,-0.008571025701943187,0.001356418092133312,,
test,p1_exit_after_h1_selected,0.0015,4824,4502,0.9332504145936982,322,-0.007107932768264122,0.001356418092133312,,
